aco_num,aco_name,qualscore,qualperfshare,n_ab,Unnamed: 5,n_ben_age_0_64,n_ben_age_65_74,n_ben_age_75_84,n_ben_age_85plus,n_ben_female,n_ben_male,n_ben_race_white,n_ben_race_black,n_ben_race_asian,n_ben_race_hisp,n_ben_race_native,n_ben_race_other,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,p_fqhc_rhc_vis,n_cah,n_fqhc,n_rhc,n_eta,n_fac_other,n_pcp,n_spec,n_np,n_pa,n_cns,py,aco_state,per_capita_exp_total_py,aim,met_qps,aco1,aco2,aco3,aco4,aco5,aco6,aco7,aco34,aco8,aco35,aco36,aco37,aco38,aco11,aco13,aco14,aco15,aco16,aco17,aco18,aco19,aco20,aco42,aco40,dm_comp,aco27,aco41,aco28,aco30,aco44,aco43,aco12
A46707,"Premier ACO Physician Network, LLC",1,0.5,10870,8838.0,1717,3454,2316,1351,5160,3678,6142,968,602,658,17,451,160.3773585,761.0062893,11674.40641,4836.59140599999,6640.17479999999,190.4151493,7.225054625,0,0,0,0,0,119,116,12,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A28708,"Advocate Physician Partners Accountable Care, Inc.",1,0.5,139369,123541.0,17811,54638,35103,15989,73438,50103,96747,19268,2344,2082,52,3048,171.0340874,790.9371044,9685.81649199999,4577.527191,4402.043488,694.646961899999,11.5988515099999,0,0,0,0,14,1172,1375,216,3,18,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",1,0.5,33253,26461.0,7250,9290,6414,3507,14555,11906,23568,2053,150,100,45,545,123.5574704,797.353439,8951.00740699999,3526.41144399999,3936.331125,1483.88735799999,4.377479432,0,0,0,0,9,311,828,204,8,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A84936,"Physicians of Cape Cod ACO, Inc.",1,0.6,5800,4409.0,389,1763,1453,804,2416,1993,4247,52,9,6,4,91,126.6331658,822.1105528,9181.119649,4135.17327899999,4251.37211899999,775.9918457,18.5824055199999,0,0,0,0,0,10,62,10,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A85439,"RGV ACO Health Providers, LLC",1,0.6,7089,5932.0,1110,2256,1889,677,3460,2472,4351,14,14,1460,5,88,127.9069767,774.4186047,13031.21207,8444.945379,4167.851569,351.4825733,66.9325472499999,0,0,0,0,0,23,4,5,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A15929,"West Florida ACO, LLC",1,0.5,10322,8475.0,1139,3065,2736,1535,5054,3421,8064,163,66,53,8,121,145.9074733,790.682627,11739.08805,5303.544227,5789.05250299999,628.699096199999,17.79222098,0,0,0,0,0,94,7,20,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64206,"Crystal Run Healthcare ACO, LLC",1,0.5,12941,10968.0,2811,4391,2503,1263,6321,4647,9658,747,62,242,8,251,170.9326272,829.0673728,12237.28357,3579.431617,7621.43769299999,1021.756546,14.6577091799999,0,0,0,0,0,76,175,16,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14269,"Dean Clinic and St. Mary's Hospital Accountable Care Organization, LLC",1,0.6,20979,18673.0,3701,7965,4628,2379,10641,8032,17645,433,145,66,37,347,146.4270962,770.9624122,7223.50654,3068.841765,2863.51888599999,1287.05491,4.09097819499999,0,0,0,0,1,194,542,52,1,2,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09903,"Jackson Purchase Medical Associates, PSC",1,0.5,6137,5366.0,807,2115,1659,785,3174,2192,5095,231,2,2,4,32,133.0998249,803.8528897,9950.51553,4105.318859,3527.09138399999,2290.97381499999,27.13147219,0,0,0,0,0,14,9,11,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A86333,"Accountable Healthcare Alliance, PC",0,0.5,6503,5755.0,1046,2129,1671,909,3376,2379,5389,248,17,24,4,73,153.2407407,781.9444444,10020.87045,5844.14534499999,3772.67078899999,394.8916803,9.16263680299999,0,0,0,0,0,31,25,2,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A76034,"Coastal Carolina Quality Care, Inc.",1,0.5,12936,11726.0,1539,5486,3441,1260,6691,5035,9928,1649,20,9,6,114,118.3068017,785.0940666,10514.76769,4349.39591699999,4554.27974199999,1604.95252899999,6.139498169,0,0,0,0,0,26,26,12,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05657,Quality Independent Physicians,1,0.5,13914,12027.0,2574,4563,3260,1630,7019,5008,9952,1869,39,17,7,143,176.1058289,805.2914427,11128.90583,5036.27032799999,4061.583768,2016.933371,14.11836037,0,0,0,0,0,60,3,32,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34299,Jordan Community ACO,1,0.5,7363,6159.0,998,2806,1544,811,3415,2744,5922,82,14,16,6,119,149.5859213,800.7246377,9862.93525699999,3461.34089399999,5109.654601,1286.045108,5.89465411,0,0,0,0,1,71,249,37,0,3,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A67604,"AppleCare Medical ACO, LLC",1,0.5,9330,7233.0,1686,2527,1996,1024,4169,3064,4302,742,399,1393,15,382,180.3459698,721.3838793,11330.08494,4733.86625999999,5903.42987199999,683.9252314,8.863579504,0,0,0,0,0,122,199,16,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A53334,"Physicians Healthcare Collaborative, LLC",1,0.5,12571,12571.0,2123,6560,3047,841,7140,5431,10623,1705,35,13,15,180,125.4007838,750.2671892,9727.95167899999,3559.482512,4277.680284,1882.46337199999,8.32551116199999,0,0,0,0,0,48,93,26,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51279,"Optimus Healthcare Partners, LLC",1,0.5,34542,27076.0,3527,12117,7632,3800,16020,11056,22455,2399,546,793,9,874,148.0473752,803.1370038,11141.51402,4601.222431,6262.393562,274.389022899999,3.509006131,0,0,0,0,0,124,71,8,3,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34178,MissionPoint Health Partners,1,0.5,23711,20212.0,3208,8908,5638,2458,11745,8467,17615,2254,63,40,9,231,149.6956736,707.8466853,9017.72815099999,3170.17745199999,4367.55087,1264.753193,215.2466368,1,1,3,0,3,259,264,113,2,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24802,Summa Accountable Care Organization,1,0.5,25150,22198.0,5340,8457,5482,2919,12821,9377,20000,1783,100,21,11,283,153.972154,765.7657658,9036.81917099999,4198.852238,3885.906743,945.9605229,6.099666691,0,0,0,0,5,340,420,120,0,20,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01714,Essentia Health,1,0.5,37862,33115.0,7924,11293,9066,4832,18284,14831,31882,184,55,38,628,328,136.4985163,810.9076026,7877.86711699999,3723.125284,2556.09274499999,1507.743067,90.90602065,5,0,4,0,0,392,1082,244,0,12,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33196,"Allcare Options, LLC",0,0.5,5796,4628.0,1377,1594,1098,559,2624,2004,3580,723,33,228,3,61,176.8470041,766.1431065,10587.82015,3341.60500899999,4404.553216,736.937962399999,2104.723961,0,19,0,0,0,81,125,65,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05273,"Accountable Care Coalition of Texas, Inc.",1,0.5,33739,27455.0,4710,12199,7484,3062,16017,11438,21433,3623,615,1226,26,532,148.9745905,697.5364375,9679.21982199999,3965.33929799999,5130.208789,573.513425699999,10.1583097,0,0,0,0,0,109,76,11,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A65596,"Integrated Care Alliance, LLC",1,0.5,8559,7296.0,1390,3265,1880,761,4172,3124,6396,697,31,83,3,86,184.7690387,763.2126509,11305.81218,4655.24234199999,6072.79152799999,512.1734284,65.6048764899999,0,0,0,0,0,39,52,16,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27119,"Accountable Care Coalition of Northwest Florida, LLC",1,0.5,9988,8875.0,1998,3698,2286,893,5235,3640,7303,1283,104,17,13,155,156.0714286,716.0714286,10413.62521,4068.358826,4257.606471,995.121383499999,1092.53852899999,0,1,1,0,0,36,40,21,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A65307,"Accountable Care Coalition of Caldwell County, LLC",1,0.5,5915,5244.0,1249,2260,1284,451,3145,2099,4945,246,11,9,3,30,122.3980017,794.3380516,9360.310367,5252.467711,3598.683887,501.497814699999,7.66095369099999,0,0,0,0,0,37,37,15,0,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A99401,"Accountable Care Organization of the North Country, LLC",1,0.5,5879,5185.0,873,2091,1514,707,2942,2243,5067,12,17,1,26,62,155.8603491,781.7955112,8746.715389,4916.601611,3121.13611799999,694.826011099999,14.1516485299999,0,0,0,0,0,12,0,2,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A92107,Central Maine ACO,1,0.5,16695,14562.0,4097,5010,3840,1615,8354,6208,14269,69,29,21,11,163,137.9215794,746.9152728,8029.034321,3313.362947,3107.89289899999,967.4977555,640.2807199,2,1,3,0,11,154,368,63,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18256,"Accountable Care Coalition of Southeast Wisconsin, LLC",1,0.5,11701,9385.0,3830,2571,1805,1179,5226,4159,4994,3192,390,570,49,190,206.779661,750.3489531,10691.4722299999,5125.481589,3717.480383,1014.402924,834.107329599999,0,5,0,0,0,130,368,50,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A70756,"Accountable Care Coalition of Coastal Georgia, LLC",1,0.5,10475,8967.0,1596,4138,2244,989,4837,4130,6487,2283,53,19,5,120,135.9938009,726.4626114,10882.7729999999,5224.032115,5059.018798,586.868413899999,12.85366889,0,0,0,0,0,36,50,7,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51059,"Physicians Collaborative Trust of the Mississippi Gulf Coast, LLC",1,0.5,6590,5236.0,1084,2358,1339,455,2906,2330,4380,706,76,10,8,56,156.8228106,692.9735234,9307.70739399999,3878.799765,4381.839576,1019.219455,27.84859776,0,0,0,0,0,16,21,10,2,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20167,North Country ACO,1,0.5,7322,6204.0,1254,2393,1714,843,3356,2848,6100,18,8,5,3,70,117.9898034,792.425346,7955.50538299999,304.1383298,2521.65533199999,466.2022633,4663.509458,0,11,0,0,0,35,20,15,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A55129,"Oakwood Accountable Care Organization, LLC",1,0.5,17150,14740.0,3624,5393,3703,2020,8695,6045,12733,1366,192,128,15,306,187.1227364,773.138833,10474.5727,5361.820356,4403.17929199999,700.569740499999,9.00330590099999,0,0,0,0,8,183,474,65,2,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30913,"Accountable Care Partners, LLC",1,0.5,6616,5894.0,1155,2771,1456,512,3460,2434,4494,1148,83,27,6,136,146.4365256,800.1113586,11511.8632199999,5015.701326,5943.12630799999,542.9169574,10.11863224,0,0,0,0,0,39,8,9,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09897,"Accountable Care Coalition of The Tri-Counties, LLC",1,0.5,18155,16579.0,3016,8115,4100,1348,9543,7036,13423,2701,131,28,7,289,146.1176997,784.5155516,11708.95418,5424.962322,5207.128541,1057.659141,19.20417644,0,0,0,0,0,72,79,39,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A67345,"WellStar Health Network, LLC",1,0.5,45732,39161.0,6549,18502,10281,3829,21999,17162,33501,4602,274,218,25,541,145.8526628,720.9129709,9683.84314099999,3071.03560599999,5791.51445799999,814.638440199999,6.65463668,0,0,0,0,8,233,1090,212,12,7,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A88776,MARYLAND ACCOUNTABLE CARE ORGANIZATION OF WESTERN MD LLC,1,0.5,6041,5430.0,775,2405,1606,644,2974,2456,5342,32,7,1,1,47,137.0449679,789.4361171,8561.243144,4199.773057,3652.27258399999,681.396961499999,27.80054214,0,0,0,0,0,20,1,10,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A47438,MARYLAND ACCOUNTABLE CARE ORGANIZATION OF EASTERN SHORE LLC,1,0.5,6443,5894.0,581,2882,1739,692,3428,2466,5138,644,6,2,1,103,112.4828532,773.6625514,9550.694444,4116.84027799999,4841.31944399999,569.965277799999,22.56944444,0,0,0,0,0,38,4,8,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64629,"Florida Medical Clinic ACO, LLC",1,0.5,11916,10649.0,1835,4908,2924,982,6105,4544,9820,399,72,174,7,177,139.703346,791.3073474,12472.95809,4599.099683,7219.994818,623.7450612,30.11853099,0,0,0,0,0,60,124,31,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A39855,"Accountable Care Coalition of Eastern North Carolina, LLC",1,0.5,10205,8910.0,1885,3984,2290,751,4896,4014,6946,1839,23,17,5,80,139.9480069,787.694974,10001.1358299999,5460.982395,3618.746932,889.6418293,31.76467191,0,0,0,0,0,30,7,7,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18428,"Accountable Care Coalition of Greater Athens Georgia, LLC",1,0.5,9393,5874.0,998,2763,1510,603,3278,2596,5288,501,18,10,2,55,146.1877757,736.6099559,9566.577642,4328.35382899999,4718.04654699999,504.505033299999,15.67223315,0,0,0,0,0,21,3,6,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A82596,"Accountable Care Coalition of Mount Kisco, LLC",1,0.5,16326,14082.0,1637,6450,4239,1756,7939,6143,13299,244,70,80,4,385,128.115016,822.3642173,10003.03277,2964.298279,6471.146264,563.948903999999,3.639319205,0,0,0,0,0,65,244,29,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16226,St. Thomas Medical Group PLLC,1,0.5,5839,5181.0,604,2388,1599,590,3000,2181,4607,488,15,3,2,66,130.6990882,727.9635258,8656.941269,3286.41678899999,4581.879184,778.777363,9.86793414799999,0,0,0,0,0,15,23,1,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A38110,"Medical Practitioners for Affordable Care, LLC",1,0.5,17974,15787.0,2748,6496,4612,1931,8756,7031,14127,1143,140,103,18,256,177.4884053,781.4841242,13294.9253599999,5902.505366,6476.85526599999,902.259581499999,13.30515001,0,0,0,0,0,59,89,16,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A80026,"North Bend Medical Center, Inc.",1,0.5,9845,8732.0,1555,3843,2384,950,4718,4014,8456,17,34,23,94,108,125.4901961,737.6906318,8282.13462599999,4648.42503399999,2296.19998799999,1062.348561,275.1610425,0,0,2,0,0,41,64,12,0,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61297,"Harbor Medical Associates, PC",1,0.5,9953,9047.0,935,4269,2770,1073,5405,3642,8839,50,11,5,1,141,127.482679,811.5473441,9990.52275,3515.290276,5320.95973599999,1152.020719,2.25201977999999,0,0,0,0,0,37,50,8,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A44053,"Texoma ACO, LLC",1,0.5,6417,5790.0,839,2287,1901,763,3517,2273,5241,317,38,86,22,86,130.2652106,754.2901716,10059.27915,4952.361281,4872.161815,197.577492199999,37.1785603599999,0,0,0,0,1,27,23,4,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16313,"PriMed, LLC",1,0.5,11266,9957.0,1286,3919,3023,1729,5862,4095,8696,829,102,123,2,205,143.2535553,832.813042,10809.47349,4136.484293,5677.91150199999,988.171017699999,6.906682473,0,0,0,0,0,51,64,20,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A87823,"Beacon Health Partners, LLP",1,0.5,16790,14134.0,2083,5964,4037,2050,8235,5899,11551,1284,389,316,20,574,136.9282036,796.4253257,11891.8578899999,4323.36184099999,7425.153322,140.367005799999,2.975722459,0,0,0,0,0,88,202,6,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A89093,Heartland Regional Medical Center,1,0.6,13617,12260.0,1947,5047,3644,1622,7081,5179,11857,230,16,33,18,106,136.9901547,811.814346,8875.032396,3654.172942,3970.468953,1226.43505099999,23.95545127,0,0,0,0,1,81,180,86,0,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A97325,John Muir Physician Network,1,0.5,23676,20828.0,2324,9687,5732,3085,12208,8620,18422,519,638,258,28,963,133.6988612,765.2889076,9897.420388,3940.96972499999,5625.171647,325.982475599999,5.296540901,0,0,0,0,0,191,32,6,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A65526,Memorial Hermann Accountable Care Organization,1,0.5,34430,30032.0,4215,14237,8085,3495,17853,12179,24098,3243,964,897,28,802,144.6623667,709.2273266,9881.935111,3767.42749599999,5138.15605099999,968.7680509,7.58351300799999,0,0,0,0,8,256,181,48,6,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40874,"Chautauqua Region Associated Medical Partners, LLC",1,0.5,7884,6891.0,2118,2126,1669,978,3738,3153,6495,171,13,103,8,101,165.7381616,785.0510678,8936.17980899999,3703.224837,2960.234534,2268.21017799999,4.510260843,0,0,0,0,7,58,107,38,3,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A39908,"Cornerstone Health Care, PA",1,0.5,19750,17935.0,2881,7993,4955,2106,10705,7230,16298,1272,85,70,11,199,125.7316788,785.2961836,10315.34309,4480.70148599999,4804.640833,1004.90121,25.09955583,0,0,0,0,0,106,224,47,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34413,"Triad Healthcare Network, LLC",1,0.5,40944,37026.0,6703,15823,9875,4625,22044,14982,29793,6501,203,104,20,405,139.3135568,759.7448618,9625.11,4013.476332,4704.447143,884.1996745,22.9868510599999,0,0,0,0,0,338,533,91,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01334,"AtlantiCare Health Solutions, Inc.",1,0.5,12286,12286.0,1726,5705,3510,1345,7001,5285,10877,1017,120,91,1,180,143.6958345,760.4137545,10689.57219,3891.138483,6083.92046099999,708.2536393,6.259606758,0,0,0,0,0,134,224,49,1,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A52780,Methodist Patient Centered ACO,1,0.5,15013,13084.0,2379,5742,3432,1531,7956,5128,9226,3179,149,291,25,214,144.9652778,701.3888889,9612.65424999999,4272.38720099999,4637.735279,697.0093421,5.52242829099999,0,0,0,0,0,135,213,27,1,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A15852,"Genesis Accountable Care Organization, LLC",1,0.5,19855,17931.0,2389,7741,5304,2497,10237,7694,17140,423,45,101,2,220,130.9573146,750.1036055,8105.71709999999,3828.018474,3587.97487099999,679.282087599999,10.4416672199999,0,0,0,0,0,143,186,55,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A91882,"Central Utah Clinic, P.C.",1,0.5,15629,14003.0,1892,6009,4455,1647,7661,6342,13612,19,50,115,45,162,109.6372496,733.0806714,8329.642055,3924.38521399999,3529.715921,849.7614724,25.77944662,0,0,0,0,0,68,138,50,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05872,"WESTMED Medical Group, P.C.",1,0.5,14082,12470.0,1352,5279,3754,2085,7623,4847,10715,1048,112,235,5,355,125.1920123,801.843318,11001.52558,3657.52690399999,6847.48278599999,488.1045644,8.41133055699999,0,0,0,0,0,81,199,27,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A46043,"Circle Health Alliance, LLC",1,0.5,11300,10194.0,3345,3720,2089,1040,5780,4414,8943,181,478,378,6,208,153.9634146,787.5,9370.548961,3535.136229,4156.25842999999,960.412732699999,718.74157,0,3,0,0,0,213,197,84,0,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10273,"BJC HealthCare ACO, LLC",1,0.5,36265,32100.0,5135,14569,8766,3630,19361,12739,28122,3474,108,31,15,350,141.4737837,681.270666,8598.63103899999,2960.539052,4422.85796599999,547.6056518,667.628370099999,0,0,7,0,11,265,513,83,1,3,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64218,"MPS ACO Physicians, LLC",1,0.5,5286,3815.0,732,1314,1078,691,2217,1598,3393,222,38,88,2,72,149.8791297,852.5382756,10660.38968,4479.96396,4494.83049899999,1676.405001,9.190224124,0,0,0,0,0,23,1,4,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A70411,"Torrance Memorial Integrated Physicians, LLC",1,0.5,12924,9364.0,1001,3950,2982,1431,5032,4332,7134,573,671,247,10,729,165.1193634,782.4933687,13090.9090899999,5017.29849099999,7144.46080199999,925.616488799999,3.533308797,0,0,0,0,1,103,389,11,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A45951,Cambridge Public Health Commission,1,0.5,5960,5960.0,2624,1763,983,590,3383,2577,4331,879,157,288,7,298,171.3819369,813.9281828,10228.60036,4166.712477,4061.511754,1990.82820999999,9.54792043399999,0,0,0,0,0,0,0,0,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12621,"Chicago Health System ACO, LLC",1,0.5,11236,9717.0,2198,4064,2360,1095,5723,3994,6964,1728,112,673,4,236,166.7160201,787.0891324,9634.43106099999,4766.18491699999,4298.678656,477.7017639,91.8657238199999,0,1,0,0,4,247,236,11,0,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A91115,"John C. Lincoln Accountable Care Organization, LLC",1,0.5,11559,9899.0,1363,5350,2254,932,5489,4410,9346,214,65,47,24,203,124.2812915,777.0897833,9808.241958,3636.95889399999,5399.054202,762.8748116,9.35405082399999,0,0,0,0,2,125,284,31,0,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A58588,"Mercy Health Select, LLC",1,0.5,29820,27018.0,4980,11206,7383,3449,15542,11476,23583,2917,78,24,3,413,148.006419,736.8226145,8900.69382399999,3792.22777,4426.871943,673.1271036,8.46700759299999,0,0,0,0,0,454,880,189,0,9,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
